N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,y,y,y,y,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.55536,0.56252,0.57704,0.51002,0.56978
2,5,y,y,y,y,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.60268,0.4926,0.56008,0.42122,0.52634
3,5,y,y,y,y,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.40756,0.4202,0.37398,0.46886,0.3971
4,5,y,y,y,y,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.40844,0.4814,0.43306,0.46876,0.45724
5,5,y,y,y,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.5048,0.48202,0.43244,0.48452,0.45726
6,5,y,y,y,y,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.59462,0.58912,0.58024,0.52682,0.5847
7,5,y,y,y,y,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.561,0.61122,0.5589,0.5116,0.58504
8,5,y,y,y,y,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.56592,0.59736,0.55012,0.47508,0.57376
9,5,y,y,y,y,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.58838,0.59882,0.605,0.52158,0.60188
10,5,y,y,y,y,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.60746,0.62572,0.63134,0.51862,0.62854
11,5,y,y,y,y,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.60166,0.57226,0.50954,0.4896,0.54088
12,5,y,y,y,y,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.53414,0.5659,0.50652,0.49596,0.53622
13,5,y,y,y,y,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.57242,0.57388,0.53836,0.44358,0.5561
14,5,y,y,y,y,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.58038,0.53346,0.49942,0.45586,0.51644
15,5,y,y,y,y,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.55468,0.57274,0.57202,0.5332,0.57236
16,5,y,y,y,y,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.41062,0.42772,0.37394,0.46886,0.40084
17,5,y,y,y,y,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.42208,0.43476,0.38696,0.47348,0.41088
