N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,n,n,n,y,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.60604,0.5673,0.48124,0.47094,0.52426
2,5,n,n,n,y,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.66726,0.61286,0.65764,0.46946,0.63524
3,5,n,n,n,y,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.48392,0.4701,0.50284,0.42686,0.48648
4,5,n,n,n,y,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.51904,0.4813,0.49146,0.42354,0.4864
5,5,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.4726,0.45822,0.46388,0.386,0.46106
6,5,n,n,n,y,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.61352,0.5473,0.5933,0.4956,0.57032
7,5,n,n,n,y,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.49394,0.57642,0.55322,0.5248,0.56482
8,5,n,n,n,y,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.60538,0.53722,0.55794,0.53272,0.54756
9,5,n,n,n,y,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.5614,0.57846,0.5495,0.52404,0.564
10,5,n,n,n,y,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.61528,0.59944,0.60202,0.5237,0.60072
