N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,n,y,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.6748,0.60306,0.67038,0.47428,0.6367
2,5,n,y,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.66696,0.59988,0.68066,0.46978,0.64026
3,5,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.408,0.41954,0.37378,0.46886,0.39666
4,5,n,y,n,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.60246,0.53818,0.63062,0.46886,0.5844
5,5,n,y,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.63748,0.54802,0.64008,0.46886,0.59406
6,5,n,y,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.61398,0.55388,0.60686,0.43662,0.58036
7,5,n,y,n,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.67826,0.61882,0.67348,0.4815,0.64614
8,5,n,y,n,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.68836,0.61556,0.67484,0.48082,0.64522
9,5,n,y,n,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.68104,0.61864,0.67144,0.47908,0.64504
10,5,n,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.69754,0.65706,0.67868,0.5264,0.66788
11,5,n,y,n,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.6751,0.60492,0.68488,0.47102,0.64488
12,5,n,y,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.6706,0.60276,0.68048,0.46982,0.6416
13,5,n,y,n,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.67202,0.6015,0.68178,0.46982,0.64164
14,5,n,y,n,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.67074,0.5989,0.6823,0.46986,0.64058
15,5,n,y,n,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.68518,0.61058,0.687,0.47102,0.64878
16,5,n,y,n,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.4219,0.43758,0.38022,0.46886,0.40892
17,5,n,y,n,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.47586,0.43202,0.38678,0.46886,0.40936
18,5,n,y,n,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.44172,0.4898,0.47244,0.4688,0.4811
19,5,n,y,n,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.44852,0.45702,0.49934,0.46878,0.47816
20,5,n,y,n,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.52592,0.52518,0.54158,0.4716,0.53336
21,5,n,y,n,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.62746,0.56518,0.6477,0.46882,0.60644
22,5,n,y,n,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.62838,0.56888,0.64002,0.46996,0.60442
23,5,n,y,n,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.62908,0.59968,0.64014,0.47106,0.61992
24,5,n,y,n,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.62058,0.5575,0.63734,0.471,0.59742
25,5,n,y,n,n,y,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.66962,0.62358,0.65548,0.49804,0.63952
26,5,n,y,n,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.66124,0.56984,0.64958,0.46884,0.60974
27,5,n,y,n,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.64222,0.5726,0.64002,0.46886,0.6063
28,5,n,y,n,n,y,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.65774,0.60476,0.6446,0.46988,0.62468
