N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,n,y,n,y,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.52934,0.52284,0.58312,0.49506,0.55298
2,5,n,y,n,y,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.61138,0.59312,0.57008,0.50078,0.5816
3,5,n,y,n,y,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.4093,0.42254,0.37466,0.46886,0.3986
4,5,n,y,n,y,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.50858,0.45046,0.46402,0.4627,0.45724
5,5,n,y,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.5085,0.5126,0.4267,0.47184,0.46966
6,5,n,y,n,y,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.58724,0.57438,0.5687,0.5154,0.57156
7,5,n,y,n,y,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.54796,0.56544,0.58446,0.52074,0.57494
8,5,n,y,n,y,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.52392,0.5021,0.58662,0.51172,0.54438
9,5,n,y,n,y,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.55948,0.55546,0.59874,0.51354,0.5771
10,5,n,y,n,y,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.59012,0.5829,0.58814,0.5412,0.58552
11,5,n,y,n,y,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.59832,0.56486,0.57172,0.50824,0.56828
12,5,n,y,n,y,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.60002,0.55886,0.53844,0.48668,0.54866
13,5,n,y,n,y,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.59506,0.51022,0.52002,0.487,0.51514
14,5,n,y,n,y,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.6344,0.55758,0.59002,0.48512,0.5738
