N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.54766,0.6062,0.57778,0.50104,0.59198
2,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.66756,0.65722,0.6505,0.47084,0.65384
3,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.48628,0.48288,0.49026,0.42724,0.48658
4,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.4805,0.37962,0.48626,0.4123,0.43292
5,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.58812,0.50238,0.51386,0.48694,0.50812
6,5,n,n,y,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.47538,0.53894,0.57496,0.47584,0.55692
7,5,n,n,y,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.59886,0.59944,0.50034,0.51846,0.54988
8,5,n,n,y,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.54092,0.60312,0.5503,0.51876,0.57672
9,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.52736,0.545,0.63772,0.50778,0.59138
10,5,n,n,y,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.53492,0.60446,0.60534,0.5317,0.60488
11,5,n,n,y,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.66588,0.67196,0.6841,0.4849,0.67802
12,5,n,n,y,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.68822,0.65956,0.68296,0.47602,0.67124
13,5,n,n,y,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.66918,0.66428,0.64848,0.47742,0.65638
14,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.69348,0.639,0.67164,0.48056,0.65532
15,5,n,n,y,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.6868,0.6554,0.66552,0.53104,0.66048
16,5,n,n,y,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.47714,0.48574,0.49124,0.4352,0.4885
17,5,n,n,y,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.48494,0.48258,0.49136,0.42848,0.48698
18,5,n,n,y,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.48656,0.4796,0.49688,0.43878,0.48824
19,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.49094,0.4796,0.50232,0.42848,0.49098
20,5,n,n,y,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.48874,0.47966,0.51686,0.43256,0.49828
21,5,n,n,y,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.50366,0.53108,0.45878,0.50476,0.49492
22,5,n,n,y,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.53922,0.47362,0.5119,0.47938,0.49272
23,5,n,n,y,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.5725,0.551,0.4444,0.48688,0.49768
24,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.46058,0.481,0.5503,0.42428,0.51566
25,5,n,n,y,n,y,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.58344,0.60216,0.5907,0.52588,0.59642
26,5,n,n,y,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.42468,0.51028,0.51382,0.42112,0.51204
27,5,n,n,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.4386,0.54062,0.53966,0.48096,0.54016
28,5,n,n,y,n,y,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.49002,0.5932,0.43572,0.48106,0.51446
29,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.50382,0.50052,0.45202,0.48648,0.47626
30,5,n,n,y,n,y,n,n,n,n,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.55284,0.55298,0.52788,0.48428,0.54044
31,5,n,n,y,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.48796,0.48582,0.52264,0.44004,0.50424
32,5,n,n,y,n,y,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.479,0.47858,0.52378,0.44018,0.50118
33,5,n,n,y,n,y,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.48772,0.49688,0.52128,0.43518,0.5091
34,5,n,n,y,n,y,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.4882,0.47952,0.51454,0.42984,0.49706
35,5,n,n,y,n,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.49086,0.49632,0.52564,0.45306,0.51096
36,5,n,n,y,n,y,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.54424,0.45396,0.4875,0.4903,0.47072
37,5,n,n,y,n,y,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.61892,0.5421,0.63064,0.46978,0.58638
38,5,n,n,y,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.47816,0.48678,0.52472,0.4743,0.50576
39,5,n,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.47,0.49626,0.52154,0.47166,0.50888
40,5,n,n,y,n,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.52066,0.45966,0.56446,0.48624,0.51204
41,5,n,n,y,n,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.51804,0.49428,0.5262,0.49636,0.51024
42,5,n,n,y,n,y,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.50394,0.47548,0.50206,0.48552,0.4888
43,5,n,n,y,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.48058,0.48554,0.5903,0.4699,0.53792
44,5,n,n,y,n,y,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.48796,0.51604,0.55504,0.5137,0.53554
45,5,n,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.49528,0.49568,0.51502,0.47882,0.50536
46,5,n,n,y,n,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.47854,0.48784,0.57526,0.48524,0.53154
47,5,n,n,y,n,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.47174,0.50934,0.5539,0.51692,0.53164
48,5,n,n,y,n,y,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.46074,0.57382,0.5492,0.47172,0.56154
49,5,n,n,y,n,y,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.44798,0.5479,0.5214,0.4721,0.53466
50,5,n,n,y,n,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.44632,0.54062,0.51024,0.48994,0.52544
51,5,n,n,y,n,y,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.44944,0.5335,0.54546,0.47932,0.5395
52,5,n,n,y,n,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.47534,0.55098,0.49368,0.46924,0.52234
53,5,n,n,y,n,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.47858,0.56972,0.55578,0.49868,0.56274
54,5,n,n,y,n,y,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.45344,0.4564,0.59204,0.48566,0.52422
55,5,n,n,y,n,y,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.44596,0.4724,0.52442,0.46954,0.49844
56,5,n,n,y,n,y,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.4625,0.48406,0.5167,0.50026,0.50038
57,5,n,n,y,n,y,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.45272,0.45434,0.49412,0.46966,0.47422
58,5,n,n,y,n,y,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.45494,0.49004,0.55062,0.47194,0.52036
