N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,n,n,y,y,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.57624,0.59426,0.5556,0.52002,0.57492
2,5,n,n,y,y,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.55188,0.59008,0.53692,0.46402,0.5635
3,5,n,n,y,y,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.50316,0.44654,0.50456,0.4617,0.47554
4,5,n,n,y,y,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.49998,0.49428,0.45214,0.40514,0.47322
5,5,n,n,y,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.51486,0.42586,0.4315,0.46882,0.42868
6,5,n,n,y,y,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.602,0.55378,0.5986,0.5308,0.57618
7,5,n,n,y,y,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.5832,0.61878,0.57752,0.49772,0.59812
8,5,n,n,y,y,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.5412,0.5911,0.55236,0.51632,0.57174
9,5,n,n,y,y,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.58634,0.5888,0.55356,0.5134,0.5712
10,5,n,n,y,y,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.60312,0.62076,0.58468,0.51526,0.60272
11,5,n,n,y,y,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.60678,0.54508,0.58448,0.47356,0.56476
12,5,n,n,y,y,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.63694,0.57846,0.55676,0.50202,0.56762
