N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,y,y,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.6666,0.59438,0.64978,0.51474,0.62206
2,5,y,y,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.6835,0.63662,0.68186,0.46978,0.65926
3,5,y,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.40756,0.41966,0.37398,0.46886,0.39684
4,5,y,y,n,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.6488,0.55868,0.64194,0.46886,0.60032
5,5,y,y,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.64284,0.58198,0.64614,0.46886,0.61406
6,5,y,y,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.65326,0.62808,0.66942,0.53924,0.64878
7,5,y,y,n,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.64208,0.66918,0.62386,0.49776,0.64648
8,5,y,y,n,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.67656,0.62708,0.65652,0.49596,0.64182
9,5,y,y,n,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.66756,0.60724,0.62738,0.51388,0.6173
10,5,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.65722,0.63308,0.64686,0.55196,0.63998
11,5,y,y,n,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.68766,0.64952,0.68714,0.47856,0.66832
12,5,y,y,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.69024,0.6435,0.68066,0.47324,0.66208
13,5,y,y,n,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.6938,0.65334,0.68676,0.47294,0.67004
14,5,y,y,n,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.69152,0.64106,0.68526,0.47092,0.66314
15,5,y,y,n,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.69884,0.66462,0.68796,0.49374,0.67628
16,5,y,y,n,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.40756,0.41966,0.37398,0.46886,0.39684
17,5,y,y,n,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.40756,0.41966,0.37398,0.46886,0.39684
18,5,y,y,n,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.40756,0.41966,0.37392,0.46886,0.39682
19,5,y,y,n,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.40756,0.41966,0.37398,0.46886,0.39684
20,5,y,y,n,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.40756,0.41966,0.37392,0.46886,0.39682
21,5,y,y,n,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.66214,0.5785,0.65332,0.4711,0.6159
22,5,y,y,n,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.64916,0.58066,0.65156,0.46886,0.6161
23,5,y,y,n,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.66288,0.6089,0.64746,0.47218,0.62818
24,5,y,y,n,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.6609,0.58066,0.64578,0.47106,0.61322
25,5,y,y,n,n,y,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.67996,0.63188,0.66678,0.5141,0.64932
26,5,y,y,n,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.6523,0.5925,0.65306,0.47106,0.62278
27,5,y,y,n,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.6494,0.59656,0.64414,0.46882,0.62034
28,5,y,y,n,n,y,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.66382,0.6132,0.64876,0.47572,0.631
29,5,y,y,n,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.65712,0.59954,0.64622,0.47194,0.62288
30,5,y,y,n,n,y,n,n,n,n,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.67942,0.63802,0.66864,0.51182,0.65334
31,5,y,y,n,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.69108,0.65198,0.63976,0.58018,0.64588
32,5,y,y,n,n,y,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.64036,0.6452,0.6392,0.52836,0.6422
33,5,y,y,n,n,y,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.6795,0.65822,0.65612,0.56614,0.65716
34,5,y,y,n,n,y,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.66174,0.65606,0.6324,0.54328,0.64424
35,5,y,y,n,n,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.6494,0.64874,0.64136,0.56724,0.64506
36,5,y,y,n,n,y,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.5673,0.49308,0.6227,0.47338,0.5579
37,5,y,y,n,n,y,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.59636,0.51284,0.61752,0.46852,0.56518
38,5,y,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.40756,0.41966,0.37398,0.46886,0.39684
39,5,y,y,n,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.54156,0.49314,0.60706,0.46886,0.5501
40,5,y,y,n,n,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.5416,0.51002,0.60536,0.46886,0.5577
41,5,y,y,n,n,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.6222,0.55218,0.65292,0.48656,0.60256
42,5,y,y,n,n,y,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.47138,0.47532,0.59892,0.46878,0.53714
43,5,y,y,n,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.46586,0.46544,0.5677,0.46878,0.51658
44,5,y,y,n,n,y,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.40756,0.41966,0.37398,0.46886,0.39684
45,5,y,y,n,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.47888,0.45316,0.5942,0.46886,0.52368
46,5,y,y,n,n,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.4798,0.45426,0.60322,0.46886,0.52876
47,5,y,y,n,n,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.51418,0.51256,0.60782,0.46952,0.5602
48,5,y,y,n,n,y,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.4431,0.54778,0.5365,0.47,0.54216
49,5,y,y,n,n,y,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.43096,0.52336,0.50516,0.46872,0.51424
50,5,y,y,n,n,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.40756,0.41966,0.37392,0.46886,0.39682
51,5,y,y,n,n,y,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.43428,0.5395,0.5375,0.46886,0.53852
52,5,y,y,n,n,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.44126,0.53492,0.54132,0.46882,0.53812
53,5,y,y,n,n,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.47404,0.5561,0.55646,0.48516,0.55628
54,5,y,y,n,n,y,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.44428,0.4686,0.53884,0.46876,0.50374
55,5,y,y,n,n,y,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.42526,0.45162,0.504,0.46878,0.4778
56,5,y,y,n,n,y,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.40756,0.41966,0.37398,0.46886,0.39684
57,5,y,y,n,n,y,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.44674,0.47376,0.57628,0.46886,0.52502
58,5,y,y,n,n,y,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.44608,0.46338,0.5768,0.46876,0.5201
59,5,y,y,n,n,y,y,y,y,y,y,n,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.47184,0.50466,0.58302,0.47968,0.54382
60,5,y,y,n,n,y,y,n,n,n,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.65366,0.63062,0.65478,0.50838,0.6427
61,5,y,y,n,n,y,n,y,n,n,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.66008,0.62414,0.66802,0.47154,0.6461
62,5,y,y,n,n,y,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.40756,0.41966,0.37392,0.46886,0.39682
63,5,y,y,n,n,y,n,n,n,y,n,n,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.64302,0.6022,0.65476,0.48554,0.62848
64,5,y,y,n,n,y,n,n,n,n,y,n,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.64646,0.6036,0.65726,0.48128,0.63044
65,5,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.65812,0.6429,0.66422,0.56498,0.65358
