N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,y,n,y,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.56692,0.5901,0.60038,0.50824,0.59524
2,5,y,n,y,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.58974,0.50582,0.59686,0.49164,0.55134
3,5,y,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.4084,0.42158,0.37434,0.46886,0.39798
4,5,y,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.4917,0.35284,0.43988,0.42516,0.39634
5,5,y,n,y,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.36108,0.51346,0.4163,0.47572,0.46488
6,5,y,n,y,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.5987,0.603,0.62302,0.53692,0.61302
7,5,y,n,y,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.5363,0.56578,0.55716,0.4722,0.56148
8,5,y,n,y,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.58534,0.55246,0.55466,0.44888,0.55356
9,5,y,n,y,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.59842,0.5934,0.56072,0.48232,0.57704
10,5,y,n,y,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.64584,0.5867,0.6308,0.54282,0.60876
11,5,y,n,y,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.55448,0.54698,0.6113,0.49348,0.57916
12,5,y,n,y,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.58442,0.57458,0.52292,0.49448,0.54874
13,5,y,n,y,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.5977,0.61934,0.4981,0.47824,0.5587
14,5,y,n,y,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.542,0.55268,0.6493,0.50102,0.60098
15,5,y,n,y,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.60078,0.6275,0.62718,0.5234,0.62736
16,5,y,n,y,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.42572,0.44102,0.38796,0.46856,0.41452
17,5,y,n,y,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.4499,0.44832,0.42758,0.47898,0.43796
18,5,y,n,y,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.42368,0.46462,0.45308,0.47298,0.45886
19,5,y,n,y,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.45324,0.45406,0.50178,0.46846,0.47796
20,5,y,n,y,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.50314,0.51128,0.55302,0.48466,0.53214
21,5,y,n,y,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.46678,0.49624,0.46554,0.44384,0.4809
22,5,y,n,y,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.52168,0.53912,0.3774,0.48446,0.45826
23,5,y,n,y,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.49544,0.53738,0.54894,0.4627,0.54318
24,5,y,n,y,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.55136,0.42426,0.49446,0.37352,0.45938
25,5,y,n,y,n,y,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.62278,0.54334,0.56266,0.50684,0.553
26,5,y,n,y,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.5061,0.55052,0.47324,0.44494,0.51188
27,5,y,n,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.44142,0.54034,0.4901,0.45498,0.51522
28,5,y,n,y,n,y,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.50384,0.54592,0.45804,0.4762,0.50196
29,5,y,n,y,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.44112,0.49282,0.5088,0.47296,0.50082
30,5,y,n,y,n,y,n,n,n,n,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.5673,0.53954,0.51932,0.44888,0.52942
31,5,y,n,y,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.56214,0.57862,0.54264,0.5153,0.56062
32,5,y,n,y,n,y,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,default,100,0.55118,0.6341,0.5559,0.53944,0.595
33,5,y,n,y,n,y,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,default,100,0.55714,0.58286,0.58922,0.5228,0.58606
34,5,y,n,y,n,y,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,default,100,0.62578,0.57212,0.59636,0.52162,0.58426
35,5,y,n,y,n,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,default,100,0.65086,0.61114,0.64218,0.55834,0.62666
36,5,y,n,y,n,y,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.50736,0.52628,0.53848,0.52922,0.53238
37,5,y,n,y,n,y,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,linear,default,100,0.59242,0.52702,0.62676,0.47304,0.5769
