N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,BAG_OF_WORDS,KERNEL,MODEL_FILE,VECTORS_SIZE,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.58944,0.58074,0.58792,0.48594,0.58434
2,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.6705,0.63902,0.6745,0.47112,0.65676
3,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.48244,0.48096,0.522,0.45594,0.50148
4,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.5398,0.47934,0.49542,0.4335,0.48738
5,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.5773,0.5146,0.4976,0.45526,0.50612
6,5,n,n,y,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.60946,0.61942,0.54236,0.49994,0.5809
7,5,n,n,y,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.57662,0.55814,0.5983,0.52952,0.5782
8,5,n,n,y,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.63012,0.6197,0.52814,0.4912,0.57394
9,5,n,n,y,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.53366,0.56334,0.50528,0.50348,0.53432
10,5,n,n,y,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.61004,0.59474,0.59846,0.55084,0.59662
11,5,n,n,y,n,y,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.67738,0.64956,0.67666,0.4731,0.6631
12,5,n,n,y,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.67282,0.64886,0.67476,0.47312,0.6618
13,5,n,n,y,n,y,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.67532,0.65302,0.672,0.4719,0.6625
14,5,n,n,y,n,y,n,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.67708,0.64304,0.67228,0.47316,0.65766
15,5,n,n,y,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.69636,0.67308,0.6875,0.49806,0.6803
16,5,n,n,y,n,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.49176,0.48832,0.51032,0.4652,0.49932
17,5,n,n,y,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.48892,0.48072,0.52162,0.46842,0.50116
18,5,n,n,y,n,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.48902,0.48756,0.52374,0.45258,0.50564
19,5,n,n,y,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.49554,0.47332,0.51214,0.4443,0.49274
20,5,n,n,y,n,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.4981,0.49646,0.50942,0.46538,0.50296
21,5,n,n,y,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.53848,0.52006,0.48322,0.468,0.50164
22,5,n,n,y,n,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.50446,0.51908,0.50954,0.4688,0.5143
23,5,n,n,y,n,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.59338,0.5827,0.50162,0.48194,0.54216
24,5,n,n,y,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.52002,0.55086,0.48594,0.45004,0.5184
25,5,n,n,y,n,y,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.59108,0.60834,0.62134,0.5104,0.61482
26,5,n,n,y,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.50642,0.53876,0.49906,0.4406,0.5189
27,5,n,n,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.57438,0.52552,0.52684,0.47818,0.52618
28,5,n,n,y,n,y,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.50044,0.54506,0.54068,0.453,0.54286
29,5,n,n,y,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.52776,0.47936,0.47112,0.45526,0.47524
30,5,n,n,y,n,y,n,n,n,n,y,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.59302,0.6071,0.58978,0.5229,0.59844
31,5,n,n,y,n,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.5231,0.51954,0.54184,0.47828,0.5307
32,5,n,n,y,n,y,y,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.52136,0.51572,0.54482,0.48826,0.5303
33,5,n,n,y,n,y,y,y,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.51736,0.51868,0.5483,0.4836,0.5335
34,5,n,n,y,n,y,y,y,y,y,y,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding_models/tweets_ft_40.bin,100,0.51658,0.52598,0.5372,0.47888,0.53158
