N.,K,T_W2V,P_W2V,T_FT,P_FT,VEC,SUM,AVG,PROD,MIN,MAX,POS_ALL,NOUN,VERB,ADJ,ADV,A_CAPS,C_CAPS,P_EMO,N_EMO,EL_W,NEG,WORD_DICT,KERNEL,CORPUS,,SUBJ_FSCORE,OPOS_FSCORE,ONEG_FSCORE,IRO_FSCORE,POL_FSCORE
1,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding/tweets_w2v_10.bin,100,0.67592,0.6205,0.66964,0.47322,0.64506
2,5,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding/tweets_w2v_10.bin,100,0.67794,0.61734,0.67326,0.47,0.64532
3,5,y,n,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding/tweets_w2v_10.bin,100,0.40756,0.42014,0.37376,0.46886,0.39698
4,5,y,n,n,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding/tweets_w2v_10.bin,100,0.65054,0.5885,0.64624,0.47004,0.61736
5,5,y,n,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,linear,../embedding/tweets_w2v_10.bin,100,0.65386,0.57138,0.64342,0.46886,0.6074
6,5,y,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,linear,../embedding/tweets_w2v_10.bin,100,0.68402,0.631,0.67102,0.47694,0.651
7,5,y,n,n,n,y,y,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,linear,../embedding/tweets_w2v_10.bin,100,0.67402,0.63024,0.66858,0.4787,0.6494
8,5,y,n,n,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,linear,../embedding/tweets_w2v_10.bin,100,0.68194,0.63336,0.66626,0.47516,0.6498
9,5,y,n,n,n,y,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,linear,../embedding/tweets_w2v_10.bin,100,0.67512,0.62882,0.67466,0.4792,0.65174
10,5,y,n,n,n,y,y,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,linear,../embedding/tweets_w2v_10.bin,100,0.6812,0.65178,0.66824,0.52738,0.66
